# Posterior probabilities of HI were assessed using the estimated fraction of haploinsufficient genes as prior (24%), thus some genes may have less observed PTVs that expected and even though have a low posterior probability.
# name = HGNC symbol
# posterior = posterior of being intolerant to PTVs 
# observedtruncationcount = number of PTVs in the gene
# expectedtruncationcount = number of expected PTVs in the gene as a function of its de novo mutation rate and number of synonymous mutations
name posterior observedtruncationcount expectedtruncationcount
C6 3.0016765672705942E-6 11 13.614129017561872
C17orf66 3.0038493319266103E-6 10 9.03353915476665
TP53I3 3.0078316616861744E-6 9 4.454841678287155
MAN2B2 3.013469762789962E-6 11 13.626470065292672
DDX60L 3.0148446827899404E-6 13 22.79364011762253
C10orf68 3.029079343663274E-6 10 9.059863523838121
FAM173B 3.1370028729593224E-6 9 4.587180030480056
SEC14L5 3.161189783401057E-6 10 9.194220359602067
KIF24 3.1798380239862432E-6 12 18.37846643914404
DNAH10 3.18237079633997E-6 21 59.62677710917748
GYLTL1B 3.211488702093399E-6 10 9.24390382852771
OR10A3 3.317003816575915E-6 9 4.762779937309714
MARS 3.32403425628291E-6 11 13.935178004934174
TSPEAR 3.332664112591573E-6 10 9.360471198499996
FBN3 3.342478047193603E-6 16 36.866928835392756
FPGT-TNNI3K 3.3540495924953282E-6 11 13.963469805422495
SERPINB3 3.3673160957789213E-6 9 4.810159525908735
FANCA 3.3913009966763523E-6 12 18.581099337230846
ANKRD26 3.408646016178668E-6 13 23.180022509885042
B3GNT4 3.415376979810041E-6 9 4.854762436382268
LCMT2 3.525064738504145E-6 10 9.537118300287863
BBOX1 3.5919373897706774E-6 9 5.013397814269053
KIAA0753 3.6019181874296636E-6 11 14.187865355868755
TMEM67 3.614364463580277E-6 11 14.198721929000687
DSG4 3.6148518645607805E-6 11 14.199146315554767
HFM1 3.631949084277642E-6 12 18.796864200436296
SLFNL1 3.7000214119902366E-6 9 5.106705098834383
CCDC27 3.726658976301309E-6 10 9.71214939949509
FUT2 3.7862864227086364E-6 9 5.1792409506477135
PLA2G4B 3.7970710383985936E-6 10 9.771059944614247
KRT17 3.908218383934041E-6 9 5.278997123452364
RSPH6A 3.9781397356031695E-6 10 9.917674230704748
FAN1 4.0162252682077504E-6 11 14.530529326054292
PDHA2 4.059518658759834E-6 9 5.3985399526510385
NBPF3 4.0699605660878436E-6 10 9.989492228889851
ACSM2A 4.076139988556644E-6 10 9.994267135046972
ZNF135 4.110728961857333E-6 10 10.02086146555981
PKD1L1 4.201821393612728E-6 16 37.587046090637415
DOK7 4.20553908874722E-6 9 5.509759105881294
HMMR 4.211949413151334E-6 10 10.097419935663355
CCDC84 4.269915516569079E-6 9 5.557571328442366
NOC2L 4.272511976570935E-6 10 10.142351760539704
NEBL 4.334339758151583E-6 11 14.770437192159708
PRAMEF2 4.369327921324456E-6 9 5.630006714775769
DNAH5 4.398234903838696E-6 22 65.22803388990654
TCHP 4.4460912630084465E-6 10 10.267687559865674
ACOT8 4.448064451218811E-6 9 5.686216823997
CCDC81 4.504155418268931E-6 10 10.30852382460581
OTUD7A 4.5315305539976675E-6 10 10.327594378649646
ANKRD36 4.551814444832983E-6 11 14.924517945937986
ADAM29 4.614833237273406E-6 10 10.384925360807225
ZNF229 4.757245225804897E-6 10 10.480581085558228
MEF2A 4.9109890836493596E-6 9 5.9978185176954675
PNKP 4.9197688957042065E-6 9 6.0034401874904555
POTEH 4.923524966568495E-6 9 6.005842117524023
AGBL1 4.926601061137279E-6 11 15.173542257450542
OTOL1 4.966057549518641E-6 9 6.032913690557859
THBS3 4.990564245201995E-6 11 15.214141278841343
ATXN3 5.027958799811583E-6 9 6.071901780286955
USP29 5.0314560725798795E-6 10 10.65695736851006
KRT6C 5.078916221862091E-6 9 6.103638445866968
PDE6B 5.127792079783461E-6 10 10.716648136257184
ZNF790 5.173886891785578E-6 10 10.744813414042916
TRIM59 5.180003604573457E-6 9 6.165664830486175
ZNF267 5.183768086217489E-6 10 10.750818445034671
ACADL 5.1986699781197315E-6 9 6.176985853903835
MYH7B 5.200111184735956E-6 13 24.509327054764533
SNAPC4 5.295030759186434E-6 12 19.983390543019862
DIAPH3 5.3428190659156E-6 11 15.428800636983496
ZNF589 5.357886471706635E-6 9 6.271929493041258
ZRANB3 5.3889742461241525E-6 11 15.455872492697587
PAMR1 5.604050697414788E-6 10 10.99617341379528
ZNF577 5.692953146487662E-6 9 6.462842872754456
C6orf211 5.7523449154799496E-6 9 6.49550695081526
ULK4 5.8128919929858596E-6 11 15.69419549720552
LDLR 5.83768125141272E-6 10 11.124721492739974
ZNF117 5.9009804579193785E-6 9 6.575797374613945
NSUN4 5.932665706434847E-6 9 6.592651530768494
ATP7B 5.962043608680186E-6 11 15.773932530820506
MYOM3 6.018244141866883E-6 12 20.38632840033498
TRIM4 6.164696824561378E-6 9 6.713398516043345
WDR90 6.219995061566004E-6 12 20.490105960721863
RAD50 6.230668760002626E-6 12 20.49550218633616
SEMA3G 6.2976637144714545E-6 10 11.363428280470636
CR2 6.317435357611518E-6 11 15.956161004844862
ABCC2 6.321441950579313E-6 12 20.541023627578348
CHAC2 6.358602599358727E-6 8 2.228002056152161
SLFN13 6.424693255108202E-6 10 11.426280296639217
PTX4 6.45401731142094E-6 9 6.857745532205234
SLC22A25 6.455941583325328E-6 9 6.858683762071433
MAMDC4 6.4658768000433485E-6 11 16.02925790100194
DNAJC28 6.574679986399425E-6 9 6.916043319146569
CNGB3 6.6775141048806326E-6 10 11.54775617292568
ZNF534 6.708432567166266E-6 9 6.979428064272356
NDUFV3 6.855000345956184E-6 9 7.047450722655434
RIPK3 6.895234870307036E-6 9 7.065869374418467
ZNF155 6.902221668677073E-6 9 7.069056851539564
PIGZ 6.902605293329868E-6 9 7.069231773125546
WDR67 6.97808444185952E-6 11 16.269194697227118
PLA2G4F 7.018796892095369E-6 10 11.704636514330282
PIGW 7.143166341061151E-6 9 7.177049479870197
ZNF439 7.160094093864471E-6 9 7.18449907101668
ZNF846 7.170620535087427E-6 9 7.189122687245175
SLC22A14 7.208433347607038E-6 9 7.205675723308293
ZNF701 7.211656481103059E-6 9 7.20708267223898
TIMELESS 7.2609387368638865E-6 12 20.977118804389445
TEX14 7.286731059932464E-6 12 20.98827883810555
POLN 7.301455457421808E-6 10 11.828897806741338
GNRH2 7.343496204534404E-6 8 2.6812331340666415
KIAA0556 7.452647213144586E-6 12 21.05913798472441
C2orf71 7.467005727890869E-6 11 16.482328639443146
CCDC7 7.484966297782986E-6 9 7.324155420943365
C3orf20 7.5122345135988286E-6 10 11.918467605649965
CAPS2 7.579426564810672E-6 9 7.363625806299441
ALPK2 7.59781569359763E-6 13 25.702721316644517
FASTKD1 7.609048876643249E-6 10 11.958769478192563
PLEKHG4B 7.610773395435655E-6 11 16.542349905723814
RP1 7.687621649370916E-6 13 25.739704173276106
ATP12A 7.707884378860396E-6 10 11.999387182598017
ZNF554 7.713121439948174E-6 9 7.418657662362808
RSC1A1 7.791422091094648E-6 9 7.450446768424546
TNNI3K 7.794231097912796E-6 10 12.03444844891455
PIF1 7.939096945510769E-6 9 7.509540925291909
OTOF 8.111050900525398E-6 13 25.908449819470576
OTOP2 8.19115695955218E-6 9 7.607911787057389
LGALS3BP 8.21467907386884E-6 9 7.6169367768031995
ZNF560 8.284363433943397E-6 10 12.226389649242881
UPK3A 8.303370505958985E-6 8 3.0678679266346256
USP6 8.395459006635628E-6 12 21.434049746503085
ERAP1 8.40666115813999E-6 10 12.27251202211306
FMN2 8.418707963679168E-6 12 21.442753306244477
ALS2CR11 8.460424914267763E-6 11 16.875443318165807
SPAG8 8.530162392227701E-6 9 7.735545125126093
UNC45A 8.584125401508934E-6 10 12.338259898182674
ACOT12 8.622651831858368E-6 9 7.769486510546712
BLM 8.638623032155751E-6 11 16.94104507746695
TTF2 8.67025747618778E-6 11 16.952549381114277
KIF27 8.76026228523192E-6 12 21.567919916130194
OR6C3 8.79812359453538E-6 8 3.25002424778529
ZP4 8.853107758340594E-6 9 7.852499424381105
CHD1L 8.896928267777595E-6 10 12.450906511498228
SLC27A6 8.942447875217882E-6 9 7.884100898675181
DDX58 9.044362128880202E-6 10 12.502634084574819
OR2G6 9.13060532186252E-6 8 3.366768856580312
FBXW8 9.134524530993853E-6 9 7.950986714426945
CTC1 9.171824665353636E-6 11 17.12954673159836
SAMD3 9.193175683732985E-6 9 7.971130398873275
PYROXD2 9.226508003300161E-6 9 7.982521159102382
OR52K1 9.25300809956781E-6 8 3.4086805946982666
SKIV2L 9.262751485644087E-6 11 17.160594560740535
PMS1 9.590168800765994E-6 10 12.687056424883817
TTC16 9.872285594903178E-6 10 12.778305998952174
SGK223 9.925878220273804E-6 11 17.378212446501035
DNAJB7 9.957001113686291E-6 8 3.6394638783440163
AVIL 1.0196249448083695E-5 10 12.879928022474141
LAPTM4B 1.0300949600067368E-5 8 3.746346942216107
C12orf42 1.0457238460438375E-5 8 3.79374015642839
OR4M2 1.0666182638232208E-5 8 3.856005965606835
ZNF169 1.0704204476213528E-5 9 8.450072463176017
OR5H6 1.0827910606633537E-5 8 3.903369459669226
