gene_symbol,s_het,s_het_lower95,s_het_upper95,NFE_s_het,NFE_s_het_lower95,NFE_s_het_upper95,rank,quintile,decile,U,N,NFE_N,n,NFE_n
FGD4,0.02540471,0.014,0.047,0.02376,0,0,6921,3,5,2.16E-06,108505.2108,66681.7143,10,4
MTNR1B,0.025397246,0.009,0.075,0.02015,0,1,6922,3,5,5.78E-07,106805.5771,66440,3,0
NOL11,0.025391247,0.014,0.049,0.02356,0,0,6923,3,5,1.83E-06,114134.0125,64551,9,9
CPNE5,0.02538314,0.014,0.047,0.02374,0,0,6924,3,5,2.18E-06,107414.9385,57660.8571,10,2
CBL,0.025378173,0.015,0.044,0.02411,0,0,6925,3,5,2.68E-06,115755.028,66657.2727,13,6
VPS35,0.025373671,0.015,0.046,0.02387,0,0,6926,3,5,2.35E-06,110398.3971,63339.5,11,8
CACNB4,0.025362882,0.013,0.051,0.02332,0,0,6927,3,5,1.89E-06,96972.16818,64646.3333,8,6
FHOD3,0.025360331,0.016,0.042,0.02432,0,0,6928,3,5,3.56E-06,108444.8124,62733.4286,16,10
FBP1,0.025356061,0.009,0.075,0.02012,0,0,6929,3,5,5.67E-07,108691.3414,64900.6667,3,2
MUC2,0.025354634,0.017,0.039,0.0246,0,0,6930,3,5,5.97E-06,90131.32411,56816.8,22,12
GNL2,0.025339145,0.015,0.046,0.02384,0,0,6931,3,5,2.24E-06,115656.6588,66519.4286,11,8
INSR,0.025326173,0.016,0.041,0.02441,0,0,6932,3,5,3.83E-06,113884.0967,66536.8333,18,5
DDX18,0.025319519,0.013,0.051,0.02328,0,0,6933,3,5,1.58E-06,115790.1997,66420,8,8
FADS1,0.025305998,0.012,0.056,0.02263,0,0,6934,3,5,1.28E-06,106586.8141,66344.5,6,5
ABCC1,0.025299632,0.016,0.041,0.02438,0,0,6935,3,5,3.78E-06,115267.0769,62557,18,11
ARFGAP1,0.025297957,0.013,0.053,0.02298,0,0,6936,3,5,1.58E-06,99691.08664,65385.4286,7,1
SDK1,0.025276828,0.017,0.038,0.02459,0,0,6937,3,5,5.26E-06,111588.3836,65616.6316,24,10
MAT2B,0.025271028,0.01,0.065,0.02137,0,0,6938,3,5,8.07E-07,106434.8483,66590.6667,4,2
CYTH3,0.025270928,0.012,0.056,0.0226,0,0,6939,3,5,1.27E-06,107270.7592,49524,6,3
ZNF724P,0.025265147,0.01,0.065,0.02137,0,0,6940,3,5,8.82E-07,97360,50669.5,4,1
DDX4,0.025262443,0.015,0.045,0.02389,0,0,6941,3,5,2.50E-06,113405.0889,66354.5,12,9
KAAG1,0.025261326,0.007,0.09,0.01779,0,0,6942,3,5,3.22E-07,113253.7872,61510,2,1
CDC14B,0.025258265,0.012,0.055,0.02259,0,0,6943,3,5,1.34E-06,101613.9118,61160.6667,6,5
ZFP30,0.025254822,0.013,0.053,0.02295,0,0,6944,3,5,1.36E-06,118639.1683,65008,7,5
NDST3,0.02524044,0.014,0.046,0.02375,0,0,6945,3,5,2.22E-06,116228.1741,66499.1111,11,9
MANBAL,0.025238884,0.004,0.124,0.01282,0,0,6946,3,5,1.13E-07,113578.2718,66722,1,0
CNTNAP2,0.025232091,0.016,0.042,0.0242,0,0,6947,3,5,3.29E-06,116737.3215,65517.0667,16,11
TAS2R38,0.025229437,0.007,0.09,0.01777,0,1,6948,3,5,3.03E-07,120188.4229,66656,2,0
SACM1L,0.02522756,0.014,0.047,0.02359,0,0,6949,3,5,2.04E-06,114055.8102,64451.3333,10,7
KRTAP10-3,0.025227065,0.007,0.09,0.01777,0,0,6950,3,5,3.07E-07,118610.1826,66517,2,1
RABAC1,0.025225037,0.008,0.074,0.02001,0,0,6951,3,5,6.03E-07,101645.0404,58312.6667,3,1
USP39,0.025214883,0.013,0.05,0.02318,0,0,6952,3,5,1.71E-06,106523.3611,60590,8,7
TRIM26,0.025212533,0.012,0.053,0.0229,0,0,6953,3,5,1.45E-06,108240.9101,63148,7,6
TUSC5,0.025204002,0.007,0.09,0.01775,0,1,6954,3,5,3.12E-07,116592.0261,64523,2,0
MEOX1,0.025202075,0.008,0.074,0.01999,0,0,6955,3,5,6.10E-07,100382.0853,48712.6667,3,1
MFAP4,0.025196239,0.01,0.065,0.02131,0,0,6956,3,5,8.75E-07,97852.27803,66097,4,2
ZNF624,0.025194623,0.013,0.05,0.02316,0,0,6957,3,5,1.52E-06,119737.6971,66338.25,8,4
STAT2,0.025194121,0.015,0.043,0.02402,0,0,6958,3,5,2.80E-06,118962.874,66670.7273,14,5
FUBP3,0.025182892,0.014,0.048,0.02337,0,0,6959,3,5,1.89E-06,109564.5494,66579.5,9,7
VTI1B,0.025175465,0.01,0.065,0.02129,0,0,6960,3,5,8.18E-07,104578.417,66443.3333,4,2
DISP2,0.025169238,0.014,0.047,0.02354,0,0,6961,3,5,2.05E-06,113226.8536,64402,10,5
CPSF1,0.025164276,0.016,0.041,0.02414,0,0,6962,3,5,3.99E-06,95992.32226,57089.3333,16,9
OSTM1,0.02515604,0.01,0.065,0.02127,0,0,6963,3,5,9.29E-07,92006.95067,38447.5,4,2
PPP2R3A,0.025144428,0.014,0.046,0.02366,0,0,6964,3,5,2.20E-06,116823.0448,66264.4,11,10
KRTDAP,0.025144281,0.008,0.074,0.01995,0,0,6965,3,5,5.15E-07,118611.3918,66532.6667,3,2
NDST4,0.025134356,0.015,0.044,0.02387,0,0,6966,3,5,2.62E-06,117235.2774,64823.1111,13,4
PPAPDC1A,0.025125736,0.01,0.065,0.02125,0,0,6967,3,5,7.92E-07,107783.0618,66729.3333,4,2
MIDN,0.025110895,0.01,0.065,0.02123,0,0,6968,3,5,9.77E-07,87318.50891,63737,4,2
CHCHD1,0.025096835,0.007,0.09,0.01767,0,0,6969,3,5,3.05E-07,118710.1651,64534,2,1
IL10RB,0.025096715,0.01,0.064,0.02122,0,0,6970,3,5,8.02E-07,106307.4657,66732.5,4,2
ZDHHC16,0.025092239,0.013,0.05,0.02307,0,0,6971,3,5,1.54E-06,117678.4749,66170,8,3
PDCD11,0.025060988,0.017,0.038,0.02435,0,0,6972,3,5,4.73E-06,117718.2036,66498.8,23,12
RAPGEF4,0.025038424,0.016,0.04,0.02413,0,0,6973,3,5,3.79E-06,113751.5192,66365.4,18,11
VSIG1,0.025031642,0.01,0.064,0.02117,0,0,6974,3,5,1.03E-06,82545.46154,47961.3333,4,3
PPP3CC,0.025018295,0.013,0.048,0.02322,0,0,6975,3,5,1.85E-06,111169.9515,66417.1429,9,7
CREB3L2,0.025011799,0.011,0.059,0.02187,0,0,6976,3,5,1.08E-06,101701.6727,65165.3333,5,1
CDKN3,0.025004512,0.01,0.064,0.02114,0,0,6977,3,5,8.85E-07,95958.33028,66415,4,4
TMTC3,0.024998567,0.014,0.047,0.02338,0,0,6978,3,5,2.04E-06,112980.3243,63617.25,10,5
WRAP73,0.024990412,0.012,0.055,0.02235,0,0,6979,3,5,1.27E-06,106028.5482,65060.5,6,3
CDR1,0.024984745,0.007,0.089,0.01759,0,1,6980,3,5,4.17E-07,86399.78761,47670,2,0
RUFY1,0.024982834,0.014,0.047,0.02336,0,0,6981,3,5,2.12E-06,108645.8145,65649.1429,10,6
PLD5,0.0249708,0.013,0.05,0.02296,0,0,6982,3,5,1.59E-06,113398.7069,66450.4,8,7
FDX1,0.024965034,0.006,0.089,0.01758,0,0,6983,3,5,3.27E-07,110083.898,62303,2,1
TBC1D12,0.024957607,0.014,0.046,0.02334,0,0,6984,3,5,2.52E-06,91304.53796,65455.4,10,7
KRTAP22-1,0.024924273,0.004,0.123,0.01265,0,0,6985,3,5,1.04E-07,121374.4444,66728,1,1
UBXN1,0.02491681,0.011,0.059,0.02179,0,0,6986,3,5,9.61E-07,113837.8053,66692,5,3
ATCAY,0.024914419,0.01,0.064,0.02107,0,0,6987,3,5,8.90E-07,95050.98283,53118,4,3
RNF44,0.024893382,0.011,0.059,0.02177,0,0,6988,3,5,1.40E-06,78064.07025,46275.5,5,3
PNMAL1,0.024887918,0.008,0.073,0.01974,0,0,6989,3,5,5.09E-07,118718.1905,66147.3333,3,2
PAPD4,0.024885116,0.014,0.046,0.02327,0,0,6990,3,5,2.03E-06,113001.4489,62496,10,6
UTS2,0.024878989,0.006,0.089,0.01752,0,1,6991,3,5,3.28E-07,109332.0441,66709,2,0
DTX4,0.024858245,0.012,0.055,0.02223,0,0,6992,3,5,1.35E-06,99194.88112,58820,6,4
PCSK1,0.024857721,0.014,0.045,0.02339,0,0,6993,3,5,2.21E-06,114921.8933,66061,11,2
STC1,0.024855437,0.01,0.064,0.02092,0,0,6994,3,5,7.20E-07,118176.7892,66708,4,3
YPEL3,0.024851046,0.006,0.089,0.0175,0,0,6995,3,5,3.18E-07,112630.7552,66653,2,1
CHST2,0.024837381,0.01,0.064,0.021,0,0,6996,3,5,9.29E-07,90759.05069,40675.3333,4,3
SLC13A3,0.024833893,0.012,0.052,0.02255,0,0,6997,3,5,1.44E-06,107261.0455,65982,7,6
GOLGA1,0.024804224,0.015,0.043,0.02356,0,0,6998,3,5,2.59E-06,116989.9169,66149.0909,13,5
ABAT,0.024801952,0.012,0.052,0.02254,0,0,6999,3,5,1.42E-06,111515.0605,66273.6,7,5
IPO5,0.024799074,0.015,0.041,0.02372,0,0,7000,3,5,3.20E-06,110164.3644,40315,15,9
CD151,0.024793712,0.01,0.064,0.02096,0,0,7001,3,5,7.62E-07,110441.3768,64187.3333,4,3
SLC25A46,0.024792251,0.011,0.058,0.02168,0,0,7002,3,5,1.09E-06,99836.37931,66423.2,5,2
AUP1,0.024790695,0.012,0.054,0.02217,0,0,7003,3,5,1.24E-06,107688.1389,56827.6667,6,6
STK32B,0.024789756,0.012,0.054,0.02217,0,0,7004,3,5,1.24E-06,107683.8809,62911,6,4
GREM2,0.024787976,0.006,0.089,0.01745,0,0,7005,3,5,3.52E-07,101467.4128,64076,2,2
SETDB2,0.024785947,0.014,0.046,0.02318,0,0,7006,3,5,2.08E-06,109828.3133,56732.2857,10,4
VPS4B,0.02476415,0.012,0.052,0.0225,0,0,7007,3,5,1.42E-06,111338.8633,60109,7,4
SPOPL,0.024740657,0.012,0.052,0.02248,0,0,7008,3,5,1.39E-06,113630,66422,7,5
IRF6,0.024736299,0.012,0.054,0.02212,0,0,7009,3,5,1.11E-06,120024.7444,65506,6,2
HECTD3,0.024685074,0.014,0.044,0.02335,0,0,7010,3,5,2.41E-06,114866.1195,61656,12,9
NOL9,0.024675346,0.013,0.049,0.02268,0,0,7011,3,5,1.63E-06,109241.4961,66422,8,6
ACAP1,0.024669305,0.014,0.044,0.02333,0,0,7012,3,5,2.52E-06,109779.6719,50556,12,4
FRMPD3,0.024657802,0.015,0.043,0.02342,0,0,7013,3,5,4.34E-06,69392.21813,42075.6667,13,7
TMEM180,0.024656608,0.011,0.058,0.02156,0,0,7014,3,5,9.32E-07,116087.9508,64115.2,5,2
CCDC25,0.024652557,0.01,0.063,0.02084,0,0,7015,3,5,7.60E-07,110056.5895,66451,4,1
C5orf22,0.024651815,0.011,0.058,0.02156,0,0,7016,3,5,9.62E-07,112444.6877,65218,5,1
VAC14,0.024650018,0.013,0.049,0.02266,0,0,7017,3,5,1.61E-06,110479.2512,65947.6,8,6
FPR1,0.024640497,0.006,0.088,0.01735,0,0,7018,3,5,2.97E-07,119470.1135,66735,2,1
ERGIC3,0.024629178,0.012,0.051,0.02238,0,0,7019,3,5,1.43E-06,109935.6075,65181.3333,7,3
RAB27B,0.024626872,0.008,0.073,0.01953,0,0,7020,3,5,5.06E-07,118099.6205,66624,3,2
TAAR6,0.024615735,0.008,0.073,0.01953,0,1,7021,3,5,4.93E-07,121155.9127,66688,3,0
POLDIP2,0.024604,0.012,0.054,0.022,0,0,7022,3,5,1.37E-06,96703.44637,55273.5,6,2
IRX4,0.024594593,0.008,0.071,0.01968,0,0,7023,3,5,7.72E-07,76522.02439,34391,3,1
CCL21,0.024582852,0.006,0.088,0.01731,0,0,7024,3,5,2.95E-07,119970.2258,64733,2,2
MYLK3,0.024581354,0.013,0.049,0.0226,0,0,7025,3,5,1.55E-06,114419.9972,60139.3333,8,5
HEG1,0.0245739,0.014,0.043,0.02324,0,0,7026,3,5,2.80E-06,98407.20714,59332,12,10
ANTXR2,0.024555703,0.011,0.054,0.02194,0,0,7027,3,5,1.47E-06,87144.2746,38546,6,5
EXOC6,0.024554956,0.014,0.043,0.02322,0,0,7028,3,5,2.52E-06,109254.3045,66338.4444,12,5
GALNT11,0.024552647,0.014,0.046,0.02296,0,0,7029,3,5,1.93E-06,117206.2,66117.75,10,4
CENPP,0.024551229,0.011,0.058,0.02147,0,0,7030,3,5,1.08E-06,99728.14093,66595,5,3
SRPX,0.024548681,0.011,0.054,0.02193,0,0,7031,3,5,1.73E-06,74024.77023,42892,6,5
PLEKHO2,0.024522248,0.011,0.054,0.02193,0,0,7032,3,5,1.20E-06,110020.1486,51114.6667,6,2
THOC5,0.024520983,0.014,0.046,0.02293,0,0,7033,3,5,1.93E-06,117049.0387,66526,10,7
SIKE1,0.024518314,0.008,0.072,0.01945,0,0,7034,3,5,5.29E-07,112438.9153,64808,3,3
POLR2M,0.02451426,0.01,0.063,0.02073,0,0,7035,3,5,8.02E-07,103666.0645,65006.6667,4,4
SYT10,0.024511881,0.012,0.051,0.02227,0,0,7036,3,5,1.34E-06,116740.0763,66514.4,7,5
NET1,0.02449746,0.014,0.046,0.02291,0,0,7037,3,5,1.94E-06,116329.5467,66252.8571,10,6
RP11-407N17.3,0.024496674,0.014,0.043,0.02317,0,0,7038,3,5,2.38E-06,115397.5133,66028.9091,12,8
SNX22,0.024495168,0.008,0.072,0.01943,0,1,7039,3,5,5.64E-07,105356.1512,66286,3,0
HOXB8,0.024494359,0.01,0.063,0.02071,0,1,7040,3,5,8.21E-07,101178.8489,65416,4,0
POMGNT2,0.024489753,0.011,0.058,0.02141,0,0,7041,3,5,9.15E-07,117401.0714,66000.4,5,3
ACSL5,0.024477568,0.014,0.046,0.02289,0,0,7042,3,5,1.91E-06,118056.9506,66692,10,6
TGFBI,0.024470528,0.013,0.049,0.0225,0,0,7043,3,5,1.64E-06,107628.5056,60951.3333,8,4
RAB8B,0.0244615,0.01,0.063,0.02068,0,0,7044,3,5,8.14E-07,101902.1895,64654,4,2
C12orf45,0.024460902,0.006,0.087,0.01722,0,0,7045,3,5,3.34E-07,105382.8502,65234,2,2
ITGA9,0.024460762,0.015,0.042,0.02323,0,0,7046,3,5,2.66E-06,112287.2305,64271.2,13,5
RNASEH2A,0.024460633,0.01,0.063,0.02068,0,0,7047,3,5,7.45E-07,111335.884,66729,4,2
FBXO6,0.024458316,0.011,0.058,0.02139,0,0,7048,3,5,8.95E-07,119862.0606,66106.8,5,3
RIMS3,0.024450473,0.01,0.063,0.02058,0,0,7049,3,5,7.07E-07,118313.6853,66496,4,2
TMX3,0.024445518,0.013,0.049,0.02247,0,0,7050,3,5,1.71E-06,103111.7773,66496.6667,8,2
GPR56,0.024442105,0.013,0.047,0.02268,0,0,7051,3,5,1.71E-06,117380.2256,66139.2,9,5
SLC13A5,0.024441223,0.011,0.054,0.02186,0,0,7052,3,5,1.16E-06,113421.3412,63285.2,6,6
THSD7B,0.024437831,0.017,0.037,0.02374,0,0,7053,3,5,5.10E-06,106419.4925,59277.0526,23,15
SLC25A15,0.024437134,0.01,0.063,0.02057,0,0,7054,3,5,6.95E-07,120288.2918,66676.5,4,1
PRDM5,0.024435207,0.013,0.047,0.02268,0,0,7055,3,5,1.80E-06,111478.3328,66242,9,5
CASP1,0.024432327,0.011,0.057,0.02136,0,0,7056,3,5,9.24E-07,115970.0403,66095,5,3
CLDN1,0.024429308,0.008,0.072,0.01938,0,0,7057,3,5,4.94E-07,119943.513,66638,3,2
ARPP21,0.02442564,0.014,0.044,0.02298,0,0,7058,3,5,2.21E-06,112853.639,66270.8,11,5
DENND3,0.02441913,0.015,0.042,0.02319,0,0,7059,3,5,2.75E-06,108421.9753,65528.25,13,5
NLRP3,0.024416325,0.014,0.044,0.02297,0,0,7060,3,5,2.08E-06,119859.6171,66525.6667,11,3
RABGAP1L,0.024408569,0.014,0.044,0.02297,0,0,7061,3,5,2.37E-06,105158.6364,63287.4286,11,6
OR8A1,0.024404284,0.006,0.087,0.01718,0,1,7062,3,5,2.92E-07,120233.3005,66727,2,0
SPCS1,0.024398483,0.006,0.087,0.01717,0,0,7063,3,5,3.62E-07,96958.36667,35589,2,1
VEZT,0.0243905,0.013,0.049,0.02242,0,0,7064,3,5,1.90E-06,92581.07025,57765.1429,8,5
GPCPD1,0.024381753,0.013,0.047,0.02263,0,0,7065,3,5,1.73E-06,115723.9125,65386.5714,9,4
TMEM200A,0.024377734,0.008,0.072,0.01934,0,0,7066,3,5,4.94E-07,119675.9928,64006,3,2
TRAM1L1,0.024377031,0.008,0.072,0.01934,0,0,7067,3,5,4.93E-07,119915.0891,66709.3333,3,1
POLD1,0.024369763,0.014,0.044,0.02293,0,0,7068,3,5,2.70E-06,92153.88,57633.75,11,5
RNF170,0.024362069,0.008,0.071,0.01949,0,0,7069,3,5,8.36E-07,69926.18082,66202,3,3
SLC38A7,0.024346643,0.011,0.057,0.02129,0,0,7070,3,5,1.07E-06,99775.6643,65319.6,5,4
MID1,0.024345592,0.011,0.057,0.02129,0,0,7071,3,5,1.43E-06,74653.91667,45870.3333,5,1
RRP1B,0.024342547,0.014,0.045,0.02276,0,0,7072,3,5,2.06E-06,108832.7346,57729.1429,10,4
TMEM184C,0.024327884,0.011,0.053,0.02175,0,0,7073,3,5,1.14E-06,114852.4144,66473.6,6,5
NPR3,0.024326664,0.011,0.053,0.02175,0,0,7074,3,5,1.30E-06,100711.4585,66644.3333,6,5
BTC,0.024323287,0.006,0.087,0.01712,0,0,7075,3,5,3.16E-07,110695.4031,66738,2,2
RGS8,0.024316629,0.009,0.063,0.02047,0,0,7076,3,5,6.90E-07,120539.2469,66726,4,1
ACTR1B,0.024308137,0.012,0.051,0.02209,0,0,7077,3,5,1.42E-06,109213.7752,58418.3333,7,3
TLR9,0.024288495,0.012,0.051,0.02207,0,0,7078,3,5,1.38E-06,112285.2207,58188,7,5
PTPN5,0.024276831,0.013,0.048,0.02232,0,0,7079,3,5,1.55E-06,112930.5245,64063.5,8,6
TRPC7,0.024271649,0.014,0.045,0.0227,0,0,7080,3,5,2.14E-06,104446.887,57542.5,10,7
MAMDC2,0.024267617,0.014,0.045,0.02269,0,0,7081,3,5,1.91E-06,117004.045,66317.1111,10,3
GPAM,0.024254459,0.015,0.041,0.02312,0,0,7082,3,5,2.69E-06,119084.7895,66454.4444,14,4
HK2,0.024243108,0.014,0.044,0.02281,0,0,7083,3,5,2.18E-06,113520.9988,63034,11,2
COBLL1,0.024241245,0.014,0.044,0.02281,0,0,7084,3,5,2.23E-06,110966.8481,66134.6667,11,7
ALDOA,0.024232945,0.011,0.057,0.02119,0,0,7085,3,5,9.20E-07,115471.821,66241.5,5,2
BOLL,0.024223163,0.011,0.057,0.02118,0,0,7086,3,5,9.86E-07,107696.5871,63619.6,5,3
CCDC85A,0.024216349,0.011,0.057,0.02117,0,1,7087,3,5,1.06E-06,100148.4165,51781.5,5,0
EPHA5,0.024210069,0.014,0.043,0.0229,0,0,7088,3,5,2.36E-06,114969.5064,62841.6667,12,7
SCGB1D2,0.02420754,0.006,0.087,0.01704,0,1,7089,3,5,2.89E-07,120402.5246,66463,2,0
DTL,0.024201382,0.013,0.045,0.02263,0,0,7090,3,5,1.90E-06,117285.9518,66165.4286,10,6
WDR61,0.024201151,0.01,0.062,0.02046,0,0,7091,3,5,7.79E-07,105265.9219,66673,4,3
SFRP2,0.024192101,0.008,0.071,0.01919,0,0,7092,3,5,5.37E-07,109207.292,50462,3,1
ACSL6,0.024190558,0.013,0.045,0.02262,0,0,7093,3,5,2.01E-06,110815.7402,65875.75,10,8
UBR7,0.024184336,0.01,0.062,0.02045,0,0,7094,3,5,1.01E-06,81129.75349,64096.6667,4,3
DOCK8,0.024178228,0.017,0.036,0.02354,0,0,7095,3,5,5.09E-06,114976.8902,65709.7895,25,11
FBXO18,0.02416909,0.015,0.041,0.02304,0,0,7096,3,5,2.72E-06,117345.2767,66125,14,6
SUPV3L1,0.024166718,0.013,0.045,0.0226,0,0,7097,3,5,1.91E-06,116498.0616,66351.5,10,5
AP3M1,0.024154661,0.011,0.057,0.02112,0,0,7098,3,5,8.91E-07,118823.8301,66551,5,4
KIAA0247,0.02415198,0.008,0.071,0.01916,0,1,7099,3,5,5.05E-07,115923.8238,66030,3,0
KIAA1109,0.024150448,0.019,0.032,0.02389,0,0,7100,3,5,1.26E-05,113475.7164,65212.9778,60,36
CNR1,0.024148312,0.008,0.071,0.01915,0,0,7101,3,5,4.90E-07,119453.3305,66726,3,3
SMDT1,0.024145643,0.004,0.119,0.01222,0,0,7102,3,5,1.05E-07,115251.438,65580,1,0
TGFB1I1,0.024134987,0.011,0.053,0.02158,0,0,7103,3,5,1.24E-06,104715.9372,49948,6,5
LMAN2,0.024133934,0.009,0.063,0.02032,0,1,7104,3,5,7.27E-07,113511.4623,65251.5,4,0
NHLRC1,0.024129794,0.008,0.071,0.01914,0,1,7105,3,5,5.25E-07,111399.4182,54074.6667,3,0
C2orf42,0.024116985,0.012,0.05,0.02191,0,0,7106,3,5,1.32E-06,116529.4883,66638.4,7,4
TMCO2,0.024111201,0.008,0.071,0.01912,0,0,7107,3,5,4.85E-07,120488.7899,66638.6667,3,1
AMPH,0.0241057,0.013,0.045,0.02254,0,0,7108,3,5,2.22E-06,99967.06033,59011,10,6
DDAH1,0.024104714,0.009,0.062,0.02038,0,0,7109,3,5,7.68E-07,106317.3802,53777.3333,4,3
FAIM,0.024098088,0.008,0.071,0.01911,0,0,7110,3,5,4.93E-07,118465.4562,66062.6667,3,2
ZNF263,0.024096159,0.013,0.048,0.02215,0,0,7111,3,5,1.48E-06,117346.4381,64379.7143,8,4
DGUOK,0.024083183,0.01,0.057,0.02106,0,0,7112,3,5,9.08E-07,116235.1197,66626,5,4
GYS1,0.024079056,0.013,0.045,0.02252,0,0,7113,3,5,2.19E-06,101219.9449,65363.1111,10,5
TNNI2,0.02407102,0.008,0.071,0.01909,0,0,7114,3,5,5.48E-07,106449.142,63051.3333,3,3
LPPR4,0.024070602,0.012,0.048,0.02213,0,0,7115,3,5,1.56E-06,111204.4918,33742,8,1
CARD10,0.024060448,0.014,0.044,0.02264,0,0,7116,3,5,2.60E-06,94439.90629,59327.5,11,6
OLR1,0.024051648,0.01,0.057,0.02103,0,0,7117,3,5,8.99E-07,117236.5556,63363.3333,5,3
CDKN2D,0.024020242,0.004,0.118,0.01216,0,0,7118,3,5,1.21E-07,99319.23404,66342,1,1
ALG5,0.024017835,0.012,0.048,0.02208,0,0,7119,3,5,1.55E-06,111663.89,64743.75,8,7
PRPH2,0.024010288,0.009,0.062,0.02021,0,0,7120,3,5,7.00E-07,117262.0992,66692,4,2
ZFP64,0.024007721,0.01,0.056,0.02099,0,0,7121,3,5,1.02E-06,103129.9489,64664.4,5,2
CINP,0.02400659,0.009,0.062,0.02029,0,0,7122,3,5,7.40E-07,109858.4651,66651.5,4,3
LURAP1L,0.024004333,0.006,0.086,0.01689,0,0,7123,3,5,3.47E-07,99349.90566,54832,2,2
TP53BP2,0.024003035,0.015,0.041,0.02288,0,0,7124,3,5,2.74E-06,115666.0282,63004,14,7
PTN,0.023993189,0.008,0.071,0.01903,0,0,7125,3,5,5.57E-07,104371.2103,66712,3,2
SERPINB6,0.023992342,0.009,0.062,0.0202,0,0,7126,3,5,6.78E-07,120973.0115,66188.5,4,1
GNG4,0.023991067,0.004,0.118,0.01214,0,0,7127,3,5,9.90E-08,121193.3947,66728,1,1
KIF13B,0.02398198,0.016,0.037,0.02327,0,0,7128,3,5,5.47E-06,92955.98814,55528.2353,22,10
DARS,0.023971158,0.013,0.046,0.02225,0,0,7129,3,5,1.76E-06,111749.9103,62176.25,9,4
PTPN3,0.023969935,0.016,0.038,0.0231,0,0,7130,3,5,3.50E-06,117811.2622,65808.2667,18,8
PHACTR2,0.02396676,0.014,0.043,0.02255,0,0,7131,3,5,2.22E-06,110158.9414,65096.3333,11,10
COL4A3,0.023959935,0.016,0.037,0.02325,0,0,7132,3,5,4.58E-06,110915.6497,63550.4211,22,10
NDST2,0.023954381,0.014,0.043,0.02254,0,0,7133,3,5,2.08E-06,117510.5417,66596.75,11,7
NIN,0.02395343,0.017,0.035,0.02337,0,0,7134,3,5,5.42E-06,115795.6854,61680.6364,27,18
CDC123,0.02395064,0.012,0.05,0.02176,0,0,7135,3,5,1.32E-06,115695.8733,66374.4,7,4
IL10,0.02394763,0.009,0.062,0.02016,0,0,7136,3,5,7.03E-07,116444.9938,57853.3333,4,3
C1orf35,0.023917844,0.008,0.071,0.01897,0,0,7137,3,5,6.67E-07,86869.23127,46789.3333,3,2
NLE1,0.023913668,0.012,0.05,0.02173,0,0,7138,3,5,1.43E-06,106625.176,66532.6667,7,6
BAG5,0.023910866,0.01,0.056,0.0209,0,0,7139,3,5,8.71E-07,120258.0142,66720,5,1
MTG1,0.023893694,0.009,0.061,0.0202,0,0,7140,3,5,8.32E-07,97217.76162,31851.5,4,2
SNURF,0.023874812,0.006,0.085,0.0168,0,0,7141,3,5,3.16E-07,108447.1532,66446,2,2
CSNK2B-LY6G5B-1181,0.023858908,0.009,0.062,0.02008,0,0,7142,3,5,7.05E-07,115667.5189,64528,4,2
TWF1,0.023854211,0.01,0.056,0.02086,0,0,7143,3,5,1.12E-06,93288.21944,47680.4,5,2
TDRD7,0.023847426,0.014,0.042,0.02255,0,0,7144,3,5,2.26E-06,118199.144,65610.2,12,7
LYNX1,0.023825656,0.006,0.085,0.01676,0,0,7145,3,5,3.86E-07,88578.93103,19264,2,2
GHSR,0.023817393,0.008,0.07,0.01889,0,0,7146,3,5,5.04E-07,114453.3906,59258,3,3
PDAP1,0.023810606,0.009,0.062,0.02004,0,0,7147,3,5,7.00E-07,116248.5556,66559,4,2
PRR19,0.023807906,0.008,0.07,0.01888,0,0,7148,3,5,4.98E-07,115783.5591,65365,3,3
SYT17,0.023806212,0.01,0.056,0.02081,0,0,7149,3,5,9.73E-07,107154.0671,66632.4,5,4
UQCC2,0.023792352,0.008,0.07,0.01887,0,0,7150,3,5,4.99E-07,115471.6994,66166,3,1
GSX1,0.023790124,0.006,0.085,0.01674,0,0,7151,3,5,3.96E-07,86200.03101,63336,2,1
APEH,0.023785202,0.013,0.044,0.02224,0,0,7152,3,5,1.93E-06,113397.6028,66310,10,4
BOC,0.023784768,0.014,0.041,0.02259,0,0,7153,3,5,2.63E-06,110335.695,60087.8182,13,9
MTG2,0.023761993,0.01,0.056,0.02077,0,0,7154,3,5,8.91E-07,116786.1909,66018.8,5,1
PPM1M,0.02375638,0.008,0.07,0.01884,0,0,7155,3,5,6.61E-07,87032.15924,51450.6667,3,1
CYP2E1,0.023743706,0.011,0.052,0.02123,0,0,7156,3,5,1.10E-06,116044.9956,65787.5,6,3
TRIM7,0.023743336,0.01,0.056,0.02076,0,0,7157,3,5,1.03E-06,100941.9948,24191.3333,5,1
SLC25A42,0.023741058,0.009,0.061,0.02007,0,0,7158,3,5,7.71E-07,104190.462,61267.3333,4,2
WBSCR17,0.023737656,0.011,0.052,0.02123,0,0,7159,3,5,1.14E-06,111943.427,66175.2,6,2
TRPV2,0.02373558,0.014,0.042,0.02245,0,0,7160,3,5,2.34E-06,113604.8813,66115.7778,12,8
RNF122,0.023707399,0.008,0.07,0.0188,0,0,7161,3,5,5.10E-07,112554.5644,65479.3333,3,3
NOL7,0.023705382,0.01,0.056,0.02072,0,0,7162,3,5,9.92E-07,104631.8683,55499,5,5
